,Athlete,Country,Medal,Olympic,Sport
17083,"SMITH, Julie",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Softball']
17084,"SMITH, Michele",['USA'],"[['Gold'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Softball']
17085,"STOKES, Shelly",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Softball']
17086,"TYLER, Danielle",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Softball']
17087,"WILLIAMS, Christa Lee",['USA'],"[['Gold'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Softball']
17088,"AN, Zhongxin",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17089,"CHEN, Hong",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17090,"HE, Liping",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17091,"LEI, Li",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17092,"LIU, Xuqing",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17093,"LIU, Yaju",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17094,"MA, Ying",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17095,"OU, Jingbai",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17096,"TAO, Hua",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17097,"WANG, Lihong",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17098,"WANG, Ying",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17099,"WEI, Qiang",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17100,"XU, Jian",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17101,"YAN, Fang",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17102,"ZHANG, Chunfang",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Softball']
17103,"KONG, Linghui","['CHN', 'CHN']","[['Silver', 'Gold'], [1, 2]]","[['Sydney', 'Atlanta', 'Sydney'], [2000, 1996, 2000]]","['Table Tennis', 'Table Tennis']"
17104,"LIU, Guoliang","['CHN', 'CHN', 'CHN']","[['Silver', 'Gold', 'Bronze'], [1, 2, 1]]","[['Sydney', 'Atlanta', 'Sydney'], [2000, 1996, 2000]]","['Table Tennis', 'Table Tennis', 'Table Tennis']"
17105,"PARK, Hae-Jung",['KOR'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Table Tennis']
17106,"RYU, Ji-Hye",['KOR'],"[['Bronze'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Table Tennis']
17107,"LIU, Wei",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Table Tennis']
17108,"QIAO, Yunping",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Table Tennis']
17109,"GOELLNER, Marc-Kevin",['GER'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Tennis']
17110,"PRINOSIL, David",['GER'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Tennis']
17111,"WOODBRIDGE, Todd","['AUS', 'AUS']","[['Silver', 'Gold'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Tennis', 'Tennis']"
17112,"WOODFORDE, Mark","['AUS', 'AUS']","[['Silver', 'Gold'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Tennis', 'Tennis']"
17113,"BROAD, Neil",['GBR'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Tennis']
17114,"HENMAN, Tim",['GBR'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Tennis']
17115,"PAES, Leander",['IND'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Tennis']
17116,"AGASSI, Andre",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Tennis']
17117,"BRUGUERA, Sergi",['ESP'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Tennis']
17118,"DAVENPORT, Lindsay",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Tennis']
17119,"CHILD, John",['CAN'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17120,"HEESE, Mark",['CAN'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17121,"STEFFES, Kent",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17122,"DODD, Michael",['USA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17123,"WHITMARSH, Mike",['USA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17124,"COOK, Natalie","['AUS', 'AUS']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17125,"POTTHARST, Kerri","['AUS', 'AUS']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17126,"PIRES, Sandra","['BRA', 'BRA']","[['Gold', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Volleyball', 'Volleyball']"
17127,"SILVA CRUZ, Jacqueline Cruz",['BRA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17128,"RODRIGUES, Monica",['BRA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17129,"SAMUEL RAMOS, Adriana","['BRA', 'BRA']","[['Silver', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Volleyball', 'Volleyball']"
