,Holding City,Date,Sport,Major,Participant,Country,Gender,Event,Event_G,Medal
8728,Helsinki,1952,Rowing,Rowing,"GISSEN, Leonid",URS,Men,eight with coxswain (8+),M,Silver
8729,Helsinki,1952,Rowing,Rowing,"KOMAROV, Aleksei",URS,Men,eight with coxswain (8+),M,Silver
8730,Helsinki,1952,Rowing,Rowing,"KRYUKOV, Vladimir",URS,Men,eight with coxswain (8+),M,Silver
8731,Helsinki,1952,Rowing,Rowing,"POLYAKOV, Igor",URS,Men,eight with coxswain (8+),M,Silver
8732,Helsinki,1952,Rowing,Rowing,"RODIMUSHKIN, Vladimir",URS,Men,eight with coxswain (8+),M,Silver
8733,Helsinki,1952,Rowing,Rowing,"SAMSONOV, Yevgeni",URS,Men,eight with coxswain (8+),M,Silver
8742,Helsinki,1952,Rowing,Rowing,"BLONDIAUX, Pierre Auguste",FRA,Men,four without coxswain (4-),M,Silver
8743,Helsinki,1952,Rowing,Rowing,"BOUISSOU, Marc Emile",FRA,Men,four without coxswain (4-),M,Silver
8744,Helsinki,1952,Rowing,Rowing,"GAUTIER, Roger",FRA,Men,four without coxswain (4-),M,Silver
8745,Helsinki,1952,Rowing,Rowing,"GUISSART, Jacques Jean",FRA,Men,four without coxswain (4-),M,Silver
8756,Helsinki,1952,Rowing,Rowing,"BIANCHI, Enrico",SUI,Men,four-oared shell with coxswain (4-),M,Silver
8757,Helsinki,1952,Rowing,Rowing,"ESS, Emile",SUI,Men,four-oared shell with coxswain (4-),M,Silver
8758,Helsinki,1952,Rowing,Rowing,"LEISER, Walter",SUI,Men,four-oared shell with coxswain (4-),M,Silver
8759,Helsinki,1952,Rowing,Rowing,"SCHELLER, Heinrich",SUI,Men,four-oared shell with coxswain (4-),M,Silver
8760,Helsinki,1952,Rowing,Rowing,"WEIDMANN, Karl",SUI,Men,four-oared shell with coxswain (4-),M,Silver
8767,Helsinki,1952,Rowing,Rowing,"HEINHOLD, Helmut",GER,Men,pair-oared shell with coxswain (2+),M,Silver
8768,Helsinki,1952,Rowing,Rowing,"MANCHEN, Heinz Joachim",GER,Men,pair-oared shell with coxswain (2+),M,Silver
8769,Helsinki,1952,Rowing,Rowing,"NOLL, Helmut",GER,Men,pair-oared shell with coxswain (2+),M,Silver
8772,Helsinki,1952,Rowing,Rowing,"WOOD, Merwyn Thomas",AUS,Men,single sculls (1x),M,Silver
8780,Helsinki,1952,Sailing,Sailing,"FALKUM-HANSEN, Börre",NOR,Men,5.5m,X,Silver
8781,Helsinki,1952,Sailing,Sailing,"LUNDE, Peder Eugen",NOR,Men,5.5m,X,Silver
8782,Helsinki,1952,Sailing,Sailing,"LUNDE, Vibeke",NOR,Women,5.5m,X,Silver
8793,Helsinki,1952,Sailing,Sailing,"ARNEBERG, Tor Birger",NOR,Men,6m,X,Silver
8794,Helsinki,1952,Sailing,Sailing,"FERNER, Finn Christian",NOR,Men,6m,X,Silver
8795,Helsinki,1952,Sailing,Sailing,"FERNER, Johan Martin",NOR,Men,6m,X,Silver
8796,Helsinki,1952,Sailing,Sailing,"HEIBERG, Erik Oscar",NOR,Men,6m,X,Silver
8797,Helsinki,1952,Sailing,Sailing,"MORTENSEN, Carl Lauritz",NOR,Men,6m,X,Silver
8805,Helsinki,1952,Sailing,Sailing,"ALMKVIST, Erland",SWE,Men,dragon,X,Silver
8806,Helsinki,1952,Sailing,Sailing,"BOLDT-CHRISTMAS, Sidney",SWE,Men,dragon,X,Silver
8807,Helsinki,1952,Sailing,Sailing,"GEDDA, Per",SWE,Men,dragon,X,Silver
8810,Helsinki,1952,Sailing,Sailing,"CURREY, Charles Norman",GBR,Men,single-handed dinghy (Finn),M,Silver
8815,Helsinki,1952,Sailing,Sailing,"PRICE, John Wesley",USA,Men,two-person keelboat open (Star),X,Silver
8816,Helsinki,1952,Sailing,Sailing,"REID, John S.",USA,Men,two-person keelboat open (Star),X,Silver
8819,Helsinki,1952,Shooting,Shooting,"SKÖLDBERG, Olof",SWE,Men,"100m running deer, single/double shots",M,Silver
8822,Helsinki,1952,Shooting,Shooting,"KUN, Szilard",HUN,Men,25m rapid fire pistol (60 shots),M,Silver
8825,Helsinki,1952,Shooting,Shooting,"BÜRCHLER-MESSER, Robert",SUI,Men,300m free rifle 3 positions (3x40 shots),M,Silver
8828,Helsinki,1952,Shooting,Shooting,"LEON GOZALO, Angel",ESP,Men,50m pistol (60 shots),M,Silver
8831,Helsinki,1952,Shooting,Shooting,"YLÖNEN, Vilho Ilmari",FIN,Men,50m rifle 3 positions (3x40 shots),M,Silver
8834,Helsinki,1952,Shooting,Shooting,"ANDREEV, Boris",URS,Men,50m rifle prone (60 shots),M,Silver
8837,Helsinki,1952,Shooting,Shooting,"HOLMQVIST, Knut",SWE,Men,trap (125 targets),M,Silver
8840,Helsinki,1952,Weightlifting,Weightlifting,"NAMDJOU, Mahmoud",IRI,Men,"- 56kg, total (bantamweight)",M,Silver
8843,Helsinki,1952,Weightlifting,Weightlifting,"BRADFORD, James Edward",USA,Men,"+ 90kg, total (heavyweight)",M,Silver
8846,Helsinki,1952,Weightlifting,Weightlifting,"SAKSONOV, Nikolai",URS,Men,"56 - 60kg, total (featherweight)",M,Silver
8849,Helsinki,1952,Weightlifting,Weightlifting,"LOPATIN, Yevgeni",URS,Men,"60 - 67.5kg, total (lightweight)",M,Silver
8852,Helsinki,1952,Weightlifting,Weightlifting,"GRATTON, Gerald A.",CAN,Men,"67.5 - 75kg, total (middleweight)",M,Silver
8855,Helsinki,1952,Weightlifting,Weightlifting,"STANCZYK, Stanley Anthony",USA,Men,"75 - 82.5kg, total (light-heavyweight)",M,Silver
8858,Helsinki,1952,Weightlifting,Weightlifting,"NOVAK, Grigori",URS,Men,"82.5 - 90kg, total (middle-heavyweight)",M,Silver
8861,Helsinki,1952,Wrestling,Wrestling Free.,"KITANO, Yushi",JPN,Men,- 52kg (flyweight),M,Silver
8864,Helsinki,1952,Wrestling,Wrestling Free.,"ANTONSSON, Bertil",SWE,Men,+ 87kg (heavyweight),M,Silver
8867,Helsinki,1952,Wrestling,Wrestling Free.,"MAMEDBEKOV, Rashid",URS,Men,52 - 57kg (bantamweight),M,Silver
8870,Helsinki,1952,Wrestling,Wrestling Free.,"GUIVEGTCHI, Nasser",IRI,Men,57 - 63kg (featherweight),M,Silver
8873,Helsinki,1952,Wrestling,Wrestling Free.,"EVANS, Jay Thomas",USA,Men,63 - 67kg (lightweight),M,Silver
8876,Helsinki,1952,Wrestling,Wrestling Free.,"BERLIN, Per Gunnar",SWE,Men,67 - 73kg (welterweight),M,Silver
8879,Helsinki,1952,Wrestling,Wrestling Free.,"TAKHTI, Gholam Reza",IRI,Men,73 - 79kg (middleweight),M,Silver
8882,Helsinki,1952,Wrestling,Wrestling Free.,"WITTENBERG, Henry",USA,Men,79 - 87kg (light-heavyweight),M,Silver
8885,Helsinki,1952,Wrestling,Wrestling Gre-R,"FABRA, Ignazio",ITA,Men,- 52kg (flyweight),M,Silver
8888,Helsinki,1952,Wrestling,Wrestling Gre-R,"RUZICKA, Josef",TCH,Men,+ 87kg (super heavyweight),M,Silver
8891,Helsinki,1952,Wrestling,Wrestling Gre-R,"CHIHAB, Zakaria",LIB,Men,52 - 57kg (bantamweight),M,Silver
8894,Helsinki,1952,Wrestling,Wrestling Gre-R,"POLYAK, Imre",HUN,Men,57 - 61kg (featherweight),M,Silver
8897,Helsinki,1952,Wrestling,Wrestling Gre-R,"FREIJ, Gustav",SWE,Men,61 - 67kg (lightweight),M,Silver
8900,Helsinki,1952,Wrestling,Wrestling Gre-R,"ANDERSSON, Gösta",SWE,Men,67 - 73kg (welterweight),M,Silver
8903,Helsinki,1952,Wrestling,Wrestling Gre-R,"RAUHALA, Kalervo Juhani",FIN,Men,73 - 79kg (middleweight),M,Silver
8906,Helsinki,1952,Wrestling,Wrestling Gre-R,"CHIKHLADZE, Shalva",URS,Men,79 - 87kg (light-heavyweight),M,Silver
8909,Melbourne / Stockholm,1956,Aquatics,Diving,"TOBIAN, Gary Milburn",USA,Men,10m platform,M,Silver
8912,Melbourne / Stockholm,1956,Aquatics,Diving,"STOVER-IRWIN, Juno Roslays",USA,Women,10m platform,W,Silver
8915,Melbourne / Stockholm,1956,Aquatics,Diving,"HARPER, Donald De Wayne",USA,Men,3m springboard,M,Silver
8918,Melbourne / Stockholm,1956,Aquatics,Diving,"STUNYO, Jeanne Georgetta",USA,Women,3m springboard,W,Silver
8921,Melbourne / Stockholm,1956,Aquatics,Swimming,"MONCKTON, John James",AUS,Men,100m backstroke,M,Silver
8924,Melbourne / Stockholm,1956,Aquatics,Swimming,"CONE, Carin Alice",USA,Women,100m backstroke,W,Silver
8927,Melbourne / Stockholm,1956,Aquatics,Swimming,"RAMEY, Nancy Jane",USA,Women,100m butterfly,W,Silver
8930,Melbourne / Stockholm,1956,Aquatics,Swimming,"DEVITT, John",AUS,Men,100m freestyle,M,Silver
8933,Melbourne / Stockholm,1956,Aquatics,Swimming,"CRAPP, Lorraine Joyce",AUS,Women,100m freestyle,W,Silver
8936,Melbourne / Stockholm,1956,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",JPN,Men,1500m freestyle,M,Silver
8939,Melbourne / Stockholm,1956,Aquatics,Swimming,"YOSHIMURA, Masahiro",JPN,Men,200m breaststroke,M,Silver
8942,Melbourne / Stockholm,1956,Aquatics,Swimming,"SZEKELY, Eva",HUN,Women,200m breaststroke,W,Silver
8945,Melbourne / Stockholm,1956,Aquatics,Swimming,"ISHIMOTO, Takashi",JPN,Men,200m butterfly,M,Silver
8948,Melbourne / Stockholm,1956,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",JPN,Men,400m freestyle,M,Silver
8951,Melbourne / Stockholm,1956,Aquatics,Swimming,"FRASER, Dawn",AUS,Women,400m freestyle,W,Silver
8960,Melbourne / Stockholm,1956,Aquatics,Swimming,"ALDERSON-ROSAZZA, Joan Ann",USA,Women,4x100m freestyle relay,W,Silver
8961,Melbourne / Stockholm,1956,Aquatics,Swimming,"MANN, Shelley Isabel",USA,Women,4x100m freestyle relay,W,Silver
8962,Melbourne / Stockholm,1956,Aquatics,Swimming,"RUUSKA, Sylvia Eliina",USA,Women,4x100m freestyle relay,W,Silver
8963,Melbourne / Stockholm,1956,Aquatics,Swimming,"SIMONS, Nancy Joan",USA,Women,4x100m freestyle relay,W,Silver
8972,Melbourne / Stockholm,1956,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,4x200m freestyle relay,M,Silver
8973,Melbourne / Stockholm,1956,Aquatics,Swimming,"HANLEY, Richard Dennis",USA,Men,4x200m freestyle relay,M,Silver
8974,Melbourne / Stockholm,1956,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,4x200m freestyle relay,M,Silver
8975,Melbourne / Stockholm,1956,Aquatics,Swimming,"WOOLSEY, William Tripp",USA,Men,4x200m freestyle relay,M,Silver
8997,Melbourne / Stockholm,1956,Aquatics,Water polo,"CIPCI, Ivo",YUG,Men,water polo,M,Silver
8998,Melbourne / Stockholm,1956,Aquatics,Water polo,"FRANJKOVIC, Tomislav",YUG,Men,water polo,M,Silver
8999,Melbourne / Stockholm,1956,Aquatics,Water polo,"IVKOVIC, Vladimir",YUG,Men,water polo,M,Silver
9000,Melbourne / Stockholm,1956,Aquatics,Water polo,"JEZIC, Zdravko",YUG,Men,water polo,M,Silver
9001,Melbourne / Stockholm,1956,Aquatics,Water polo,"KACIC, Horivoje",YUG,Men,water polo,M,Silver
9002,Melbourne / Stockholm,1956,Aquatics,Water polo,"KOVACIC, Zdravko",YUG,Men,water polo,M,Silver
9003,Melbourne / Stockholm,1956,Aquatics,Water polo,"RADONIC, Lovro",YUG,Men,water polo,M,Silver
9004,Melbourne / Stockholm,1956,Aquatics,Water polo,"ZUZEJ, Marjan",YUG,Men,water polo,M,Silver
9007,Melbourne / Stockholm,1956,Athletics,Athletics,"KOVACS, Jozsef",HUN,Men,10000m,M,Silver
9010,Melbourne / Stockholm,1956,Athletics,Athletics,"BAKER, Walter Thane",USA,Men,100m,M,Silver
9013,Melbourne / Stockholm,1956,Athletics,Athletics,"STUBNICK, Christa",EUA,Women,100m,W,Silver
9016,Melbourne / Stockholm,1956,Athletics,Athletics,"DAVIS, Jack",USA,Men,110m hurdles,M,Silver
9019,Melbourne / Stockholm,1956,Athletics,Athletics,"RICHTZENHAIN, Klaus",EUA,Men,1500m,M,Silver
9022,Melbourne / Stockholm,1956,Athletics,Athletics,"STANFIELD, Andrew William",USA,Men,200m,M,Silver
9025,Melbourne / Stockholm,1956,Athletics,Athletics,"STUBNICK, Christa",EUA,Women,200m,W,Silver
9028,Melbourne / Stockholm,1956,Athletics,Athletics,"MIKENAS, Antanas",URS,Men,20km walk,M,Silver
9031,Melbourne / Stockholm,1956,Athletics,Athletics,"ROZSNYOI, Sandor",HUN,Men,3000m steeplechase,M,Silver
9035,Melbourne / Stockholm,1956,Athletics,Athletics,"HAAS, Karl-Friedrich",EUA,Men,400m,M,Silver
9038,Melbourne / Stockholm,1956,Athletics,Athletics,"SOUTHERN, Silas Edward",USA,Men,400m hurdles,M,Silver
9047,Melbourne / Stockholm,1956,Athletics,Athletics,"BARTENEV, Leonid",URS,Men,4x100m relay,M,Silver
9048,Melbourne / Stockholm,1956,Athletics,Athletics,"KONOVALOV, Yuri",URS,Men,4x100m relay,M,Silver
9049,Melbourne / Stockholm,1956,Athletics,Athletics,"SUKHAREV, Vladimir",URS,Men,4x100m relay,M,Silver
9050,Melbourne / Stockholm,1956,Athletics,Athletics,"TOKAREV, Boris",URS,Men,4x100m relay,M,Silver
9059,Melbourne / Stockholm,1956,Athletics,Athletics,"ARMITAGE, Heather Joy",GBR,Women,4x100m relay,W,Silver
9060,Melbourne / Stockholm,1956,Athletics,Athletics,"FOULDS-PAUL, June Florence",GBR,Women,4x100m relay,W,Silver
9061,Melbourne / Stockholm,1956,Athletics,Athletics,"PASHLEY, Anne",GBR,Women,4x100m relay,W,Silver
9062,Melbourne / Stockholm,1956,Athletics,Athletics,"SCRIVENS, Jean Eileen",GBR,Women,4x100m relay,W,Silver
9071,Melbourne / Stockholm,1956,Athletics,Athletics,"GIPSON, Graham Chater",AUS,Men,4x400m relay,M,Silver
9072,Melbourne / Stockholm,1956,Athletics,Athletics,"GOSPER, Richard Kevan",AUS,Men,4x400m relay,M,Silver
9073,Melbourne / Stockholm,1956,Athletics,Athletics,"GREGORY, Leonard Stuart",AUS,Men,4x400m relay,M,Silver
9074,Melbourne / Stockholm,1956,Athletics,Athletics,"LEAN, David Francis",AUS,Men,4x400m relay,M,Silver
9077,Melbourne / Stockholm,1956,Athletics,Athletics,"PIRIE, Douglas A.Gordon",GBR,Men,5000m,M,Silver
9080,Melbourne / Stockholm,1956,Athletics,Athletics,"MASKINSKOV, Yevgeni",URS,Men,50km walk,M,Silver
9083,Melbourne / Stockholm,1956,Athletics,Athletics,"JOHNSON, Derek James Neville",GBR,Men,800m,M,Silver
9086,Melbourne / Stockholm,1956,Athletics,Athletics,"KÖHLER-BIRKEMEYER, Gisela",EUA,Women,80m hurdles,W,Silver
9089,Melbourne / Stockholm,1956,Athletics,Athletics,"JOHNSON, Rafer Lewis",USA,Men,decathlon,M,Silver
9092,Melbourne / Stockholm,1956,Athletics,Athletics,"GORDIEN, Fortune Edward",USA,Men,discus throw,M,Silver
9095,Melbourne / Stockholm,1956,Athletics,Athletics,"BEGLYAKOVA, Irina",URS,Women,discus throw,W,Silver
9098,Melbourne / Stockholm,1956,Athletics,Athletics,"KRIVONOSOV, Mikhail",URS,Men,hammer throw,M,Silver
9101,Melbourne / Stockholm,1956,Athletics,Athletics,"PORTER, Charles Michael",AUS,Men,high jump,M,Silver
9103,Melbourne / Stockholm,1956,Athletics,Athletics,"HOPKINS, Thelma Elizabeth",GBR,Women,high jump,W,Silver
9104,Melbourne / Stockholm,1956,Athletics,Athletics,"PISSAREVA, Mariya",URS,Women,high jump,W,Silver
9107,Melbourne / Stockholm,1956,Athletics,Athletics,"SIDLO, Janusz",POL,Men,javelin throw,M,Silver
9110,Melbourne / Stockholm,1956,Athletics,Athletics,"AHRENS, Marlene",CHI,Women,javelin throw,W,Silver
9113,Melbourne / Stockholm,1956,Athletics,Athletics,"BENNETT, John Dale",USA,Men,long jump,M,Silver
9116,Melbourne / Stockholm,1956,Athletics,Athletics,"WHITE, Willie B.",USA,Women,long jump,W,Silver
9119,Melbourne / Stockholm,1956,Athletics,Athletics,"MIHALIC, Franjo",YUG,Men,marathon,M,Silver
9122,Melbourne / Stockholm,1956,Athletics,Athletics,"GUTOWSKI, Robert Allen",USA,Men,pole vault,M,Silver
9125,Melbourne / Stockholm,1956,Athletics,Athletics,"NIEDER, William Henry",USA,Men,shot put,M,Silver
9128,Melbourne / Stockholm,1956,Athletics,Athletics,"ZYBINA, Galina",URS,Women,shot put,W,Silver
9131,Melbourne / Stockholm,1956,Athletics,Athletics,"EINARSSON, Vilhjalmur",ISL,Men,triple jump,M,Silver
9156,Melbourne / Stockholm,1956,Basketball,Basketball,"BOCHKAREV, Arkadi",URS,Men,basketball,M,Silver
9157,Melbourne / Stockholm,1956,Basketball,Basketball,"KRUMINS, Yanis",URS,Men,basketball,M,Silver
9158,Melbourne / Stockholm,1956,Basketball,Basketball,"LAURITENAS, Algirdas",URS,Men,basketball,M,Silver
9159,Melbourne / Stockholm,1956,Basketball,Basketball,"MUIZHNIEK, Valdis",URS,Men,basketball,M,Silver
9160,Melbourne / Stockholm,1956,Basketball,Basketball,"OZEROV, Yuri",URS,Men,basketball,M,Silver
9161,Melbourne / Stockholm,1956,Basketball,Basketball,"PETKYAVICHUS, Kasis",URS,Men,basketball,M,Silver
9162,Melbourne / Stockholm,1956,Basketball,Basketball,"SEMYONOV, Mikhail",URS,Men,basketball,M,Silver
9163,Melbourne / Stockholm,1956,Basketball,Basketball,"STONKUS, Stasis",URS,Men,basketball,M,Silver
9164,Melbourne / Stockholm,1956,Basketball,Basketball,"STUDENETSKY, Mikhail",URS,Men,basketball,M,Silver
9165,Melbourne / Stockholm,1956,Basketball,Basketball,"TORBAN, Vladimir",URS,Men,basketball,M,Silver
9166,Melbourne / Stockholm,1956,Basketball,Basketball,"VALDMANIS, Maigonis",URS,Men,basketball,M,Silver
9167,Melbourne / Stockholm,1956,Basketball,Basketball,"ZUBKOV, Viktor",URS,Men,basketball,M,Silver
9171,Melbourne / Stockholm,1956,Boxing,Boxing,"DOBRESCU, Mircea",ROU,Men,- 51kg (flyweight),M,Silver
9175,Melbourne / Stockholm,1956,Boxing,Boxing,"MUKHIN, Lev",URS,Men,+ 81kg (heavyweight),M,Silver
9179,Melbourne / Stockholm,1956,Boxing,Boxing,"SONG, Soon-Chun",KOR,Men,51 - 54kg (bantamweight),M,Silver
9183,Melbourne / Stockholm,1956,Boxing,Boxing,"NICHOLLS, Thomas G.",GBR,Men,54 - 57kg (featherweight),M,Silver
9187,Melbourne / Stockholm,1956,Boxing,Boxing,"KURSCHAT, Harry",EUA,Men,57 - 60kg (lightweight),M,Silver
9191,Melbourne / Stockholm,1956,Boxing,Boxing,"NENCI, Franco",ITA,Men,60 - 63.5kg (light-welterweight),M,Silver
9195,Melbourne / Stockholm,1956,Boxing,Boxing,"TIEDT, Fred",IRL,Men,63.5 - 67kg (welterweight),M,Silver
9199,Melbourne / Stockholm,1956,Boxing,Boxing,"TORRES, Jose Louis Chegui",USA,Men,67 - 71kg (light-middleweight),M,Silver
9203,Melbourne / Stockholm,1956,Boxing,Boxing,"TAPIA, Ramon",CHI,Men,71-75kg,M,Silver
9207,Melbourne / Stockholm,1956,Boxing,Boxing,"NEGREA, Gheorghe",ROU,Men,75 - 81kg (light-heavyweight),M,Silver
9210,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"PARTI, Janos",HUN,Men,C-1 10000m,M,Silver
9213,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"HERNEK, Istvan",HUN,Men,C-1 1000m (canoe single),M,Silver
9218,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"DRANSART, Georges",FRA,Men,C-2 10000m,M,Silver
9219,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"RENAUD, Marcel",FRA,Men,C-2 10000m,M,Silver
9224,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"BOTEV, Gratsian",URS,Men,C-2 1000m (canoe double),M,Silver
9225,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"KHARIN, Pavel",URS,Men,C-2 1000m (canoe double),M,Silver
9228,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"HATLACZKY, Ferenc",HUN,Men,K-1 10000m,M,Silver
9231,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"PISSAREV, Igor",URS,Men,K-1 1000m (kayak single),M,Silver
9234,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"ZENZ, Therese",EUA,Women,K-1 500m (kayak single),W,Silver
9239,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"BRIEL, Fritz",EUA,Men,K-2 10000m,M,Silver
9240,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"KLEINE, Theodor",EUA,Men,K-2 10000m,M,Silver
9245,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"DEMITKOV, Anatoli",URS,Men,K-2 1000m (kayak double),M,Silver
9246,Melbourne / Stockholm,1956,Canoe / Kayak,Canoe / Kayak F,"KAALESTE, Mikhail",URS,Men,K-2 1000m (kayak double),M,Silver
9249,Melbourne / Stockholm,1956,Cycling,Cycling Road,"GEYRE, Arnaud",FRA,Men,individual road race,M,Silver
9256,Melbourne / Stockholm,1956,Cycling,Cycling Road,"BRITTAIN, Arthur Stanley",GBR,Men,team time trial,M,Silver
9257,Melbourne / Stockholm,1956,Cycling,Cycling Road,"HOLMES, William",GBR,Men,team time trial,M,Silver
9258,Melbourne / Stockholm,1956,Cycling,Cycling Road,"JACKSON, Alan Wharmby",GBR,Men,team time trial,M,Silver
9261,Melbourne / Stockholm,1956,Cycling,Cycling Track,"FOUSEK, Ladislav",TCH,Men,1km time trial,M,Silver
9266,Melbourne / Stockholm,1956,Cycling,Cycling Track,"FOUSEK, Ladislav",TCH,Men,2000m tandem,M,Silver
9267,Melbourne / Stockholm,1956,Cycling,Cycling Track,"MACHEK, Vaclav",TCH,Men,2000m tandem,M,Silver
9270,Melbourne / Stockholm,1956,Cycling,Cycling Track,"PESENTI, Guglielmo",ITA,Men,Sprint indivual,M,Silver
9279,Melbourne / Stockholm,1956,Cycling,Cycling Track,"BIANCHI, Rene",FRA,Men,Team Pursuit (4000m),M,Silver
9280,Melbourne / Stockholm,1956,Cycling,Cycling Track,"GRACZYK, Jean",FRA,Men,Team Pursuit (4000m),M,Silver
9281,Melbourne / Stockholm,1956,Cycling,Cycling Track,"LECANTE, Jean-Claude",FRA,Men,Team Pursuit (4000m),M,Silver
9282,Melbourne / Stockholm,1956,Cycling,Cycling Track,"VERMEULEN, Michel",FRA,Men,Team Pursuit (4000m),M,Silver
9285,Melbourne / Stockholm,1956,Equestrian,Dressage,"HARTEL, Lis",DEN,Women,individual,X,Silver
9286,Melbourne / Stockholm,1956,Equestrian,Dressage,JUBILEE,DEN,Women,individual,X,Silver
9293,Melbourne / Stockholm,1956,Equestrian,Dressage,AFRIKA,EUA,Women,team,X,Silver
9294,Melbourne / Stockholm,1956,Equestrian,Dressage,"KÜPPERS, Anneliese",EUA,Women,team,X,Silver
9295,Melbourne / Stockholm,1956,Equestrian,Dressage,"LINSENHOFF, Liselott",EUA,Women,team,X,Silver
9296,Melbourne / Stockholm,1956,Equestrian,Dressage,"WEYGAND, Hannelore",EUA,Women,team,X,Silver
9299,Melbourne / Stockholm,1956,Equestrian,Eventing,"LÜTKE WESTHUES, August",EUA,Men,individual,X,Silver
9306,Melbourne / Stockholm,1956,Equestrian,Eventing,"LÜTKE WESTHUES, August",EUA,Men,team,X,Silver
9307,Melbourne / Stockholm,1956,Equestrian,Eventing,"ROTHE, Otto",EUA,Men,team,X,Silver
9308,Melbourne / Stockholm,1956,Equestrian,Eventing,"WAGNER, Klaus",EUA,Men,team,X,Silver
9309,Melbourne / Stockholm,1956,Equestrian,Eventing,PRINZESS,EUA,Women,team,X,Silver
9310,Melbourne / Stockholm,1956,Equestrian,Eventing,SISSI,EUA,Women,team,X,Silver
9313,Melbourne / Stockholm,1956,Equestrian,Jumping,"D'INZEO, Raimondo",ITA,Men,individual,X,Silver
9320,Melbourne / Stockholm,1956,Equestrian,Jumping,"D'INZEO, Piero",ITA,Men,team,X,Silver
9321,Melbourne / Stockholm,1956,Equestrian,Jumping,"D'INZEO, Raimondo",ITA,Men,team,X,Silver
9322,Melbourne / Stockholm,1956,Equestrian,Jumping,"OPPES, Salvatore",ITA,Men,team,X,Silver
9328,Melbourne / Stockholm,1956,Fencing,Fencing,"DELFINO, Giuseppe",ITA,Men,épée individual,M,Silver
9340,Melbourne / Stockholm,1956,Fencing,Fencing,"BALTHAZAR, Lajos",HUN,Men,épée team,M,Silver
9341,Melbourne / Stockholm,1956,Fencing,Fencing,"BERZSENYI, Barnabas",HUN,Men,épée team,M,Silver
9342,Melbourne / Stockholm,1956,Fencing,Fencing,"MAROSI, Jozsef",HUN,Men,épée team,M,Silver
9343,Melbourne / Stockholm,1956,Fencing,Fencing,"NAGY, Ambrus",HUN,Men,épée team,M,Silver
9344,Melbourne / Stockholm,1956,Fencing,Fencing,"RERRICH, Bela",HUN,Men,épée team,M,Silver
9345,Melbourne / Stockholm,1956,Fencing,Fencing,"SAKOVICS, Jozsef",HUN,Men,épée team,M,Silver
9348,Melbourne / Stockholm,1956,Fencing,Fencing,"BERGAMINI, Giancarlo",ITA,Men,foil individual,M,Silver
9351,Melbourne / Stockholm,1956,Fencing,Fencing,"ORBAN-SZABO, Olga",ROU,Women,foil individual,W,Silver
9364,Melbourne / Stockholm,1956,Fencing,Fencing,"BAUDOUX, Bernard",FRA,Men,foil team,M,Silver
9365,Melbourne / Stockholm,1956,Fencing,Fencing,"CLOSSET, Roger",FRA,Men,foil team,M,Silver
9366,Melbourne / Stockholm,1956,Fencing,Fencing,"COICAUD, Rene",FRA,Men,foil team,M,Silver
9367,Melbourne / Stockholm,1956,Fencing,Fencing,"D'ORIOLA, Christian",FRA,Men,foil team,M,Silver
9368,Melbourne / Stockholm,1956,Fencing,Fencing,"LATASTE, Jacques",FRA,Men,foil team,M,Silver
9369,Melbourne / Stockholm,1956,Fencing,Fencing,"NETTER, Claude",FRA,Men,foil team,M,Silver
9372,Melbourne / Stockholm,1956,Fencing,Fencing,"PAWLOWSKI, Jerzy",POL,Men,sabre individual,M,Silver
9384,Melbourne / Stockholm,1956,Fencing,Fencing,"KUSZEWSKI, Marian Zygmunt",POL,Men,sabre team,M,Silver
9385,Melbourne / Stockholm,1956,Fencing,Fencing,"PAWLAS, Zygmunt",POL,Men,sabre team,M,Silver
9386,Melbourne / Stockholm,1956,Fencing,Fencing,"PAWLOWSKI, Jerzy",POL,Men,sabre team,M,Silver
9387,Melbourne / Stockholm,1956,Fencing,Fencing,"PIATKOWSKI, Andrzej Ryszard",POL,Men,sabre team,M,Silver
9388,Melbourne / Stockholm,1956,Fencing,Fencing,"ZABLOCKI, Wojciech",POL,Men,sabre team,M,Silver
9389,Melbourne / Stockholm,1956,Fencing,Fencing,"ZUB, Ryszard",POL,Men,sabre team,M,Silver
9422,Melbourne / Stockholm,1956,Football,Football,"ANTIC, Sava",YUG,Men,football,M,Silver
