,Holding Place,Year,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
2,Athens,1896,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100m freestyle for sailors,M,Bronze
5,Athens,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200m freestyle,M,Bronze
8,Athens,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400m freestyle,M,Bronze
11,Athens,1896,Athletics,Athletics,"LANE, Francis",USA,Men,100m,M,Bronze
12,Athens,1896,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100m,M,Bronze
17,Athens,1896,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500m,M,Bronze
20,Athens,1896,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400m,M,Bronze
23,Athens,1896,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800m,M,Bronze
26,Athens,1896,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,discus throw,M,Bronze
32,Athens,1896,Athletics,Athletics,"CONNOLLY, James",USA,Men,long jump,M,Bronze
35,Athens,1896,Athletics,Athletics,"KELLNER, Gyula",HUN,Men,marathon,M,Bronze
38,Athens,1896,Athletics,Athletics,"DAMASKOS, Evangelos",GRE,Men,pole vault,M,Bronze
39,Athens,1896,Athletics,Athletics,"THEODOROPOULOS, Ioannis",GRE,Men,pole vault,M,Bronze
42,Athens,1896,Athletics,Athletics,"PAPASIDERIS, Georgios",GRE,Men,shot put,M,Bronze
45,Athens,1896,Athletics,Athletics,"PERSAKIS, Ioannis",GRE,Men,triple jump,M,Bronze
48,Athens,1896,Cycling,Cycling Road,"BATTEL, Edward",GBR,Men,individual road race,M,Bronze
53,Athens,1896,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,10km,M,Bronze
58,Athens,1896,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,1km time trial,M,Bronze
61,Athens,1896,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,Sprint indivual,M,Bronze
64,Athens,1896,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Men,foil individual,M,Bronze
69,Athens,1896,Fencing,Fencing,"NIELSEN, Holger",DEN,Men,sabre individual,M,Bronze
78,Athens,1896,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,rings,M,Bronze
81,Athens,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,rope climbing,M,Bronze
95,Athens,1896,Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",GRE,Men,"team, parallel bars",M,Bronze
96,Athens,1896,Gymnastics,Artistic G.,"KARVELAS, Phillippos",GRE,Men,"team, parallel bars",M,Bronze
97,Athens,1896,Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",GRE,Men,"team, parallel bars",M,Bronze
98,Athens,1896,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,"team, parallel bars",M,Bronze
114,Athens,1896,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,vault,M,Bronze
117,Athens,1896,Shooting,Shooting,"MORAKIS, Nikolaos",GRE,Men,25m army pistol,M,Bronze
120,Athens,1896,Shooting,Shooting,"NIELSEN, Holger",DEN,Men,25m rapid fire pistol (60 shots),M,Bronze
123,Athens,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,50m pistol (60 shots),M,Bronze
126,Athens,1896,Shooting,Shooting,"TRIKUPIS, Nicolaos",GRE,Men,"army rifle, 200m",M,Bronze
129,Athens,1896,Shooting,Shooting,"JENSEN, Viggo",DEN,Men,"army rifle, 300m",M,Bronze
132,Athens,1896,Tennis,Tennis,"FLACK, Edwin",ZZX,Men,doubles,M,Bronze
133,Athens,1896,Tennis,Tennis,"ROBERTSON, George Stuart",ZZX,Men,doubles,M,Bronze
138,Athens,1896,Tennis,Tennis,"PASPATIS, Konstantinos",GRE,Men,singles,M,Bronze
139,Athens,1896,Tennis,Tennis,"TAPAVICZA, Momcsillo",HUN,Men,singles,M,Bronze
142,Athens,1896,Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",GRE,Men,heavyweight - one hand lift,M,Bronze
145,Athens,1896,Weightlifting,Weightlifting,"VERSIS, Sotirios",GRE,Men,heavyweight - two hand lift,M,Bronze
148,Athens,1896,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",GRE,Men,open event,M,Bronze
151,Paris,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,1500m freestyle,M,Bronze
154,Paris,1900,Aquatics,Swimming,"DROST, Johannes",NED,Men,200m backstroke,M,Bronze
157,Paris,1900,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m freestyle,M,Bronze
160,Paris,1900,Aquatics,Swimming,"KEMP, Peter",GBR,Men,200m obstacle event,M,Bronze
163,Paris,1900,Aquatics,Swimming,HOUBEN,FRA,Men,200m team swimming,M,Bronze
164,Paris,1900,Aquatics,Swimming,"LEUILLIEUX, Jean",FRA,Men,200m team swimming,M,Bronze
165,Paris,1900,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,200m team swimming,M,Bronze
166,Paris,1900,Aquatics,Swimming,"MERCHEZ, Désiré",FRA,Men,200m team swimming,M,Bronze
167,Paris,1900,Aquatics,Swimming,TARTARA,FRA,Men,200m team swimming,M,Bronze
178,Paris,1900,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,4000m freestyle,M,Bronze
181,Paris,1900,Aquatics,Swimming,"LYKKEBERG, Peder",DEN,Men,underwater swimming,M,Bronze
184,Paris,1900,Aquatics,Water polo,"BURGESS, Thomas",FRA,Men,water polo,M,Bronze
185,Paris,1900,Aquatics,Water polo,COULON,FRA,Men,water polo,M,Bronze
186,Paris,1900,Aquatics,Water polo,"DECUYPER, Alphonse",FRA,Men,water polo,M,Bronze
187,Paris,1900,Aquatics,Water polo,DEVENOT,FRA,Men,water polo,M,Bronze
188,Paris,1900,Aquatics,Water polo,FARDELLE,FRA,Men,water polo,M,Bronze
189,Paris,1900,Aquatics,Water polo,FAVIER,FRA,Men,water polo,M,Bronze
190,Paris,1900,Aquatics,Water polo,"LAUFRAY, Louis",FRA,Men,water polo,M,Bronze
191,Paris,1900,Aquatics,Water polo,LERICHE,FRA,Men,water polo,M,Bronze
192,Paris,1900,Aquatics,Water polo,"MARTIN, Louis",FRA,Men,water polo,M,Bronze
193,Paris,1900,Aquatics,Water polo,"MERCHEZ, Désiré",FRA,Men,water polo,M,Bronze
194,Paris,1900,Aquatics,Water polo,"PESLIER, Henri",FRA,Men,water polo,M,Bronze
195,Paris,1900,Aquatics,Water polo,PESLOY,FRA,Men,water polo,M,Bronze
196,Paris,1900,Aquatics,Water polo,"TREFFEL, Charles",FRA,Men,water polo,M,Bronze
197,Paris,1900,Aquatics,Water polo,"VASSEUR, Paul",FRA,Men,water polo,M,Bronze
212,Paris,1900,Archery,Archery,"PETIT, Charles Frédéric",FRA,Men,"au chapelet, 33m",M,Bronze
215,Paris,1900,Archery,Archery,"MERCIER, Emile",FRA,Men,"au chapelet, 50m",M,Bronze
218,Paris,1900,Archery,Archery,"PETIT, Charles Frédéric",FRA,Men,"au cordon doré, 33m",M,Bronze
221,Paris,1900,Archery,Archery,"FISSEUX, Emile",FRA,Men,"au cordon doré, 50m",M,Bronze
227,Paris,1900,Archery,Archery,"GLINEUX, Louis",BEL,Men,sur la perche à la pyramide,M,Bronze
230,Paris,1900,Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,100m,M,Bronze
233,Paris,1900,Athletics,Athletics,"MOLONEY, Frederick",USA,Men,110m hurdles,M,Bronze
236,Paris,1900,Athletics,Athletics,"BRAY, John",USA,Men,1500m,M,Bronze
239,Paris,1900,Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,200m,M,Bronze
242,Paris,1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200m hurdles,M,Bronze
245,Paris,1900,Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,3000m steeplechase,M,Bronze
248,Paris,1900,Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,4000m steeplechase,M,Bronze
251,Paris,1900,Athletics,Athletics,"SCHULTZ, Ernst",DEN,Men,400m,M,Bronze
254,Paris,1900,Athletics,Athletics,"ORTON, George",CAN,Men,400m hurdles,M,Bronze
267,Paris,1900,Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,60m,M,Bronze
270,Paris,1900,Athletics,Athletics,"HALL, David",USA,Men,800m,M,Bronze
273,Paris,1900,Athletics,Athletics,"SHELDON, Richard",USA,Men,discus throw,M,Bronze
276,Paris,1900,Athletics,Athletics,"MCCRACKEN, Josiah",USA,Men,hammer throw,M,Bronze
279,Paris,1900,Athletics,Athletics,"GÖNCZY, Lajos",HUN,Men,high jump,M,Bronze
282,Paris,1900,Athletics,Athletics,"SHELDON, Lewis Pendleton",USA,Men,"high jump, standing",M,Bronze
285,Paris,1900,Athletics,Athletics,"LEAHY, Patrick Joseph",GBR,Men,long jump,M,Bronze
288,Paris,1900,Athletics,Athletics,"TORCHEBOEUF, Emile",FRA,Men,"long jump, standing",M,Bronze
291,Paris,1900,Athletics,Athletics,"FAST, Ernst",SWE,Men,marathon,M,Bronze
294,Paris,1900,Athletics,Athletics,"ANDERSEN, Carl Albert",NOR,Men,pole vault,M,Bronze
297,Paris,1900,Athletics,Athletics,"GARRETT, Robert",USA,Men,shot put,M,Bronze
300,Paris,1900,Athletics,Athletics,"SHELDON, Lewis Pendleton",USA,Men,triple jump,M,Bronze
303,Paris,1900,Athletics,Athletics,"GARRETT, Robert",USA,Men,"triple jump, standing",M,Bronze
336,Paris,1900,Croquet,Croquet,WAYDELICH,FRA,Men,individual 1 ball,M,Bronze
339,Paris,1900,Croquet,Croquet,SAUTREAU,FRA,Men,individual 2 balls,M,Bronze
342,Paris,1900,Cycling,Cycling Track,"DAUMAIN, .....",FRA,Men,25 kilometres,M,Bronze
345,Paris,1900,Cycling,Cycling Track,"LAKE, John Henry",USA,Men,Sprint indivual,M,Bronze
348,Paris,1900,Equestrian,Jumping,"VAN DE POELE, Georges",BEL,Men,high jump,X,Bronze
351,Paris,1900,Equestrian,Jumping,"DE CHAMPSAVIN, Louis",FRA,Men,individual,X,Bronze
354,Paris,1900,Equestrian,Jumping,DE BELLEGARDE,FRA,Men,long jump individual,X,Bronze
357,Paris,1900,Fencing,Fencing,"SEE, Léon",FRA,Men,épée individual,M,Bronze
360,Paris,1900,Fencing,Fencing,"SEE, Léon",FRA,Men,"épée, amateurs and masters",M,Bronze
363,Paris,1900,Fencing,Fencing,"LAURENT, Henri",FRA,Men,"épée, masters",M,Bronze
366,Paris,1900,Fencing,Fencing,"BOULENGER, Marcel Jacques",FRA,Men,foil individual,M,Bronze
369,Paris,1900,Fencing,Fencing,"MIMIAGUE, Jean-Baptiste",FRA,Men,"foil, masters",M,Bronze
372,Paris,1900,Fencing,Fencing,"FLESCH, Siegfried",AUT,Men,sabre individual,M,Bronze
375,Paris,1900,Fencing,Fencing,"NERALIC, Milan",AUT,Men,"sabre, masters",M,Bronze
378,Paris,1900,Football,Football,"DELBECQUE, Albert",BEL,Men,football,M,Bronze
379,Paris,1900,Football,Football,"KELECOM, R.",BEL,Men,football,M,Bronze
380,Paris,1900,Football,Football,"LEBOUTTE, Marcel",BEL,Men,football,M,Bronze
381,Paris,1900,Football,Football,LONDOT,BEL,Men,football,M,Bronze
382,Paris,1900,Football,Football,"MOREAU, Ernest",BEL,Men,football,M,Bronze
383,Paris,1900,Football,Football,"NEEFS, E.",BEL,Men,football,M,Bronze
384,Paris,1900,Football,Football,"PELGRIMS, Georges",BEL,Men,football,M,Bronze
385,Paris,1900,Football,Football,"RENIER, Alphonse",BEL,Men,football,M,Bronze
386,Paris,1900,Football,Football,"SPANNOGHE, E.",BEL,Men,football,M,Bronze
387,Paris,1900,Football,Football,"THORNTON, Erich",BEL,Men,football,M,Bronze
388,Paris,1900,Football,Football,VAN HEUCKELUM,BEL,Men,football,M,Bronze
413,Paris,1900,Golf,Golf,"ROBERTSON, David Donaldson",GBR,Men,individual,M,Bronze
416,Paris,1900,Golf,Golf,"PRATT, Daria",USA,Women,individual,W,Bronze
419,Paris,1900,Gymnastics,Artistic G.,"DEMANET, Lucien",FRA,Men,individual all-round,M,Bronze
422,Paris,1900,Polo,Polo,"BOUSSOD, Jean",ZZX,Men,polo,M,Bronze
423,Paris,1900,Polo,Polo,"DUC DE BISACCIA, Louis",ZZX,Men,polo,M,Bronze
424,Paris,1900,Polo,Polo,"FAUQUET LEMAITRE, A.",ZZX,Men,polo,M,Bronze
425,Paris,1900,Polo,Polo,"RAOUL-DUVAL, Maurice",ZZX,Men,polo,M,Bronze
434,Paris,1900,Rowing,Rowing,"BRANDT, Francois Antoine",NED,Men,eight with coxswain (8+),M,Bronze
435,Paris,1900,Rowing,Rowing,"BROCKMANN, Hermanus Gerardus",NED,Men,eight with coxswain (8+),M,Bronze
436,Paris,1900,Rowing,Rowing,"KLEIN, Roelof",NED,Men,eight with coxswain (8+),M,Bronze
437,Paris,1900,Rowing,Rowing,"LEEGSTRA, Ruud Gerbens",NED,Men,eight with coxswain (8+),M,Bronze
438,Paris,1900,Rowing,Rowing,"MIDDELBERG, Walter",NED,Men,eight with coxswain (8+),M,Bronze
439,Paris,1900,Rowing,Rowing,"OFFERHAUS, Hendrik Karel",NED,Men,eight with coxswain (8+),M,Bronze
440,Paris,1900,Rowing,Rowing,"THIJSSEN, Walter",NED,Men,eight with coxswain (8+),M,Bronze
441,Paris,1900,Rowing,Rowing,"TROMP, Henricus",NED,Men,eight with coxswain (8+),M,Bronze
442,Paris,1900,Rowing,Rowing,"VAN DIJK, Johannes Wilhelmus Maria",NED,Men,eight with coxswain (8+),M,Bronze
461,Paris,1900,Rowing,Rowing,"CARSTENS, Wilhelm",GER,Men,four-oared shell with coxswain (4-),M,Bronze
462,Paris,1900,Rowing,Rowing,"FELLE, Ernst",GER,Men,four-oared shell with coxswain (4-),M,Bronze
463,Paris,1900,Rowing,Rowing,"FICKEISEN, Otto",GER,Men,four-oared shell with coxswain (4-),M,Bronze
464,Paris,1900,Rowing,Rowing,"KÖRNER, Julius",GER,Men,four-oared shell with coxswain (4-),M,Bronze
465,Paris,1900,Rowing,Rowing,"KRÖWERATH, Franz",GER,Men,four-oared shell with coxswain (4-),M,Bronze
466,Paris,1900,Rowing,Rowing,"LEHLE, Carl",GER,Men,four-oared shell with coxswain (4-),M,Bronze
467,Paris,1900,Rowing,Rowing,"MÖLLER, Adolf",GER,Men,four-oared shell with coxswain (4-),M,Bronze
468,Paris,1900,Rowing,Rowing,"MOTHS, Gustav Adolf",GER,Men,four-oared shell with coxswain (4-),M,Bronze
469,Paris,1900,Rowing,Rowing,"RÜSTER, Hugo",GER,Men,four-oared shell with coxswain (4-),M,Bronze
470,Paris,1900,Rowing,Rowing,"WILKER, Hermann",GER,Men,four-oared shell with coxswain (4-),M,Bronze
490,Paris,1900,Rowing,Rowing,"DELTOUR, Carlos",FRA,Men,pair-oared shell with coxswain (2+),M,Bronze
491,Paris,1900,Rowing,Rowing,"PAOLI, Raoul",FRA,Men,pair-oared shell with coxswain (2+),M,Bronze
492,Paris,1900,Rowing,Rowing,"VEDRENNE, Antoine Erneste",FRA,Men,pair-oared shell with coxswain (2+),M,Bronze
499,Paris,1900,Rowing,Rowing,"ASHE, Saint-George",GBR,Men,single sculls (1x),M,Bronze
549,Paris,1900,Sailing,Sailing,"MICHELET, E.",FRA,Men,0.5-1t,X,Bronze
550,Paris,1900,Sailing,Sailing,"MICHELET, F.",FRA,Men,0.5-1t,X,Bronze
559,Paris,1900,Sailing,Sailing,"HORE, Edward",GBR,Men,10-20t,X,Bronze
563,Paris,1900,Sailing,Sailing,"MACHENRY, M.",USA,Men,3-10t,X,Bronze
566,Paris,1900,Sailing,Sailing,"MICHELET, E.",FRA,Men,open class,X,Bronze
567,Paris,1900,Sailing,Sailing,"MICHELET, F.",FRA,Men,open class,X,Bronze
575,Paris,1900,Shooting,Shooting,"BALME, Eugène",FRA,Men,25m rapid fire pistol (60 shots),M,Bronze
578,Paris,1900,Shooting,Shooting,"BOUWENS, Antonius",NED,Men,"50m army pistol, team",M,Bronze
579,Paris,1900,Shooting,Shooting,"SILLEM, Henrik",NED,Men,"50m army pistol, team",M,Bronze
580,Paris,1900,Shooting,Shooting,"SWEYS, Anthony Ahasuerus",NED,Men,"50m army pistol, team",M,Bronze
581,Paris,1900,Shooting,Shooting,"VAN DEN BERGH, Solko Johannes",NED,Men,"50m army pistol, team",M,Bronze
582,Paris,1900,Shooting,Shooting,"VAN HAAN, Gerardus",NED,Men,"50m army pistol, team",M,Bronze
593,Paris,1900,Shooting,Shooting,"STÄHELI, Konrad",SUI,Men,50m pistol (60 shots),M,Bronze
596,Paris,1900,Shooting,Shooting,"ÖSTMO, Ole",NOR,Men,"army rifle, 300m, 3 positions",M,Bronze
597,Paris,1900,Shooting,Shooting,"VAN ASBROECK, Paul",BEL,Men,"army rifle, 300m, 3 positions",M,Bronze
603,Paris,1900,Shooting,Shooting,"ÖSTMO, Ole",NOR,Men,"army rifle, 300m, prone",M,Bronze
606,Paris,1900,Shooting,Shooting,"PAUMIER DU VERGIER, Charles",BEL,Men,"army rifle, 300m, standing",M,Bronze
609,Paris,1900,Shooting,Shooting,"CAVADINI, Auguste",FRA,Men,"free rifle, team",M,Bronze
610,Paris,1900,Shooting,Shooting,"LECOQ, Maurice",FRA,Men,"free rifle, team",M,Bronze
611,Paris,1900,Shooting,Shooting,"MOREAUX, Léon",FRA,Men,"free rifle, team",M,Bronze
612,Paris,1900,Shooting,Shooting,"PAROCHE, Achille",FRA,Men,"free rifle, team",M,Bronze
613,Paris,1900,Shooting,Shooting,"THOMAS, René",FRA,Men,"free rifle, team",M,Bronze
624,Paris,1900,Shooting,Shooting,"DE CLARY, Justinien",FRA,Men,trap (125 targets),M,Bronze
627,Paris,1900,Tennis,Tennis,"DE LA CHAPELLE, Georges",FRA,Men,doubles,M,Bronze
628,Paris,1900,Tennis,Tennis,"MAHONY, Harold Sergerson",GBR,Men,doubles,M,Bronze
629,Paris,1900,Tennis,Tennis,"NORRIS, Arthur B.J.",GBR,Men,doubles,M,Bronze
630,Paris,1900,Tennis,Tennis,"PREVOST, André",FRA,Men,doubles,M,Bronze
635,Paris,1900,Tennis,Tennis,"DOHERTY, Hugh Lawrence",ZZX,Men,mixed doubles,X,Bronze
636,Paris,1900,Tennis,Tennis,"WARDEN, Archibald A.",ZZX,Men,mixed doubles,X,Bronze
639,Paris,1900,Tennis,Tennis,"JONES, Marion",ZZX,Women,mixed doubles,X,Bronze
640,Paris,1900,Tennis,Tennis,"ROSENBAUM, Hedwig",ZZX,Women,mixed doubles,X,Bronze
643,Paris,1900,Tennis,Tennis,"DOHERTY, Reginald Frank",GBR,Men,singles,M,Bronze
644,Paris,1900,Tennis,Tennis,"NORRIS, Arthur B.J.",GBR,Men,singles,M,Bronze
647,Paris,1900,Tennis,Tennis,"JONES, Marion",USA,Women,singles,W,Bronze
648,Paris,1900,Tennis,Tennis,"ROSENBAUM, Hedwig",BOH,Women,singles,W,Bronze
663,St Louis,1904,Aquatics,Diving,"BRAUNSCHWEIGER, Alfred",GER,Men,10m platform,M,Bronze
664,St Louis,1904,Aquatics,Diving,"KEHOE, Frank",USA,Men,10m platform,M,Bronze
667,St Louis,1904,Aquatics,Diving,"GOODWIN, Leo Budd",USA,Men,plunge for distance,M,Bronze
670,St Louis,1904,Aquatics,Swimming,"ZACHARIAS, Georg",GER,Men,100m backstroke,M,Bronze
673,St Louis,1904,Aquatics,Swimming,"LEARY, J. Scott",USA,Men,100m freestyle,M,Bronze
676,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,1500m freestyle,M,Bronze
679,St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,200m freestyle,M,Bronze
682,St Louis,1904,Aquatics,Swimming,"HANDY, Hehry Jamison",USA,Men,400m breaststroke,M,Bronze
685,St Louis,1904,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,400m freestyle,M,Bronze
688,St Louis,1904,Aquatics,Swimming,"EVANS, Gwynne",USA,Men,4x50y freestyle relay,M,Bronze
689,St Louis,1904,Aquatics,Swimming,"ORTHWEIN, William Robert",USA,Men,4x50y freestyle relay,M,Bronze
690,St Louis,1904,Aquatics,Swimming,"REYBURN, Amadee",USA,Men,4x50y freestyle relay,M,Bronze
691,St Louis,1904,Aquatics,Swimming,"SCHWARTZ, Marquard",USA,Men,4x50y freestyle relay,M,Bronze
700,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,50y freestyle (45.72m),M,Bronze
703,St Louis,1904,Aquatics,Swimming,"KISS, Geza",HUN,Men,880y freestyle (804.66m),M,Bronze
706,St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,double american round (60y - 50y - 40y),M,Bronze
709,St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,double columbia round (50y - 40y - 30y),W,Bronze
712,St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,double national round (60y - 50y),W,Bronze
715,St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,double york round (100y - 80y - 60y),M,Bronze
718,St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,team round 60y,M,Bronze
719,St Louis,1904,Archery,Archery,"BRYANT, Wallace",USA,Men,team round 60y,M,Bronze
720,St Louis,1904,Archery,Archery,"DALLIN, Cyrus Edwin",USA,Men,team round 60y,M,Bronze
721,St Louis,1904,Archery,Archery,"RICHARDSON, Henry Barber",USA,Men,team round 60y,M,Bronze
736,St Louis,1904,Athletics,Athletics,"HOGENSON, William",USA,Men,100m,M,Bronze
739,St Louis,1904,Athletics,Athletics,"ASHBURNER, Lesley",USA,Men,110m hurdles,M,Bronze
742,St Louis,1904,Athletics,Athletics,"HEARN, Lacey",USA,Men,1500m,M,Bronze
745,St Louis,1904,Athletics,Athletics,"HOGENSON, William",USA,Men,200m,M,Bronze
748,St Louis,1904,Athletics,Athletics,"POAGE, George",USA,Men,200m hurdles,M,Bronze
751,St Louis,1904,Athletics,Athletics,"NEWTON, Arthur",USA,Men,3000m steeplechase,M,Bronze
754,St Louis,1904,Athletics,Athletics,"GROMAN, Herman",USA,Men,400m,M,Bronze
757,St Louis,1904,Athletics,Athletics,"POAGE, George",USA,Men,400m hurdles,M,Bronze
770,St Louis,1904,Athletics,Athletics,"MITCHELL, James",USA,Men,56lb weight throw (25.4kg),M,Bronze
773,St Louis,1904,Athletics,Athletics,"MOULTON, Fay",USA,Men,60m,M,Bronze
776,St Louis,1904,Athletics,Athletics,"BREITKREUTZ, Emil",USA,Men,800m,M,Bronze
779,St Louis,1904,Athletics,Athletics,"HARE, Thomas Truxton",USA,Men,decathlon,M,Bronze
782,St Louis,1904,Athletics,Athletics,"GEORGANDAS, Nicolaos",GRE,Men,discus throw,M,Bronze
785,St Louis,1904,Athletics,Athletics,"ROSE, Ralph",USA,Men,hammer throw,M,Bronze
788,St Louis,1904,Athletics,Athletics,"WEINSTEIN, Paul",GER,Men,high jump,M,Bronze
791,St Louis,1904,Athletics,Athletics,"ROBERTSON, Lawson N.",USA,Men,"high jump, standing",M,Bronze
794,St Louis,1904,Athletics,Athletics,"STANGLAND, Robert",USA,Men,long jump,M,Bronze
797,St Louis,1904,Athletics,Athletics,"BILLER, John",USA,Men,"long jump, standing",M,Bronze
800,St Louis,1904,Athletics,Athletics,"NEWTON, Arthur",USA,Men,marathon,M,Bronze
803,St Louis,1904,Athletics,Athletics,"WILKINS, Louis",USA,Men,pole vault,M,Bronze
806,St Louis,1904,Athletics,Athletics,"FEUERBACH, Lawrence E. Joseph",USA,Men,shot put,M,Bronze
809,St Louis,1904,Athletics,Athletics,"MERZ, William",USA,Men,triathlon (long jump / shot put / 100 yards),M,Bronze
812,St Louis,1904,Athletics,Athletics,"STANGLAND, Robert",USA,Men,triple jump,M,Bronze
815,St Louis,1904,Athletics,Athletics,"STADLER, Joseph F.",USA,Men,"triple jump, standing",M,Bronze
820,St Louis,1904,Boxing,Boxing,"MICHAELS, William",USA,Men,+ 71.67kg (heavyweight),M,Bronze
825,St Louis,1904,Boxing,Boxing,"GILMORE, Frederick",USA,Men,52.16 - 56.7kg (featherweight),M,Bronze
828,St Louis,1904,Boxing,Boxing,"VAN HORN, Russell",USA,Men,56.7 - 61.24kg (lightweight),M,Bronze
831,St Louis,1904,Boxing,Boxing,"EAGAN, James Jack",USA,Men,61.24 - 65.77kg (welterweight),M,Bronze
832,St Louis,1904,Boxing,Boxing,"LYDON, Joseph",USA,Men,61.24 - 65.77kg (welterweight),M,Bronze
837,St Louis,1904,Cycling,Cycling Track,"BILLINGTON, Edward",USA,Men,1 mile (1609.3m),M,Bronze
840,St Louis,1904,Cycling,Cycling Track,"DOWNING, Burton",USA,Men,1/2 mile (804.7m),M,Bronze
843,St Louis,1904,Cycling,Cycling Track,"BILLINGTON, Edward",USA,Men,1/3 mile (536.5m),M,Bronze
846,St Louis,1904,Cycling,Cycling Track,"BILLINGTON, Edward",USA,Men,1/4 mile (402.3m),M,Bronze
849,St Louis,1904,Cycling,Cycling Track,"HURLEY, Marcus",USA,Men,2 miles (3.218km),M,Bronze
852,St Louis,1904,Cycling,Cycling Track,"WILEY, George",USA,Men,25 miles (40.232km),M,Bronze
855,St Louis,1904,Cycling,Cycling Track,"ANDREWS, Arthur F.",USA,Men,5 miles (8.046km),M,Bronze
858,St Louis,1904,Fencing,Fencing,"VAN ZO POST, Albertson",CUB,Men,épée individual,M,Bronze
861,St Louis,1904,Fencing,Fencing,"TATHAM, Charles",CUB,Men,foil individual,M,Bronze
870,St Louis,1904,Fencing,Fencing,"VAN ZO POST, Albertson",CUB,Men,sabre individual,M,Bronze
873,St Louis,1904,Fencing,Fencing,"GREBE, William",USA,Men,"stick, single",M,Bronze
876,St Louis,1904,Football,Football,"BRADY, Joseph J.",USA,Men,football,M,Bronze
877,St Louis,1904,Football,Football,"COOKE, George Edwin",USA,Men,football,M,Bronze
878,St Louis,1904,Football,Football,"COOKE, Thomas J.",USA,Men,football,M,Bronze
879,St Louis,1904,Football,Football,"COSTGROVE, Cormic F.",USA,Men,football,M,Bronze
880,St Louis,1904,Football,Football,DIERKES,USA,Men,football,M,Bronze
881,St Louis,1904,Football,Football,"DOOLING, Martin T.",USA,Men,football,M,Bronze
882,St Louis,1904,Football,Football,"FROST, Frank",USA,Men,football,M,Bronze
883,St Louis,1904,Football,Football,"JAMESON, Claude Stanley",USA,Men,football,M,Bronze
884,St Louis,1904,Football,Football,"JAMESON, Henry Wood",USA,Men,football,M,Bronze
885,St Louis,1904,Football,Football,"JOHNSON, -",USA,Men,football,M,Bronze
886,St Louis,1904,Football,Football,O'CONNELL,USA,Men,football,M,Bronze
887,St Louis,1904,Football,Football,"TATE, Harry",USA,Men,football,M,Bronze
933,St Louis,1904,Golf,Golf,"MCKINNIE, Burt P.",USA,Men,individual,M,Bronze
934,St Louis,1904,Golf,Golf,"NEWTON, Francis Clement",USA,Men,individual,M,Bronze
957,St Louis,1904,Gymnastics,Artistic G.,"WILSON, Ralph",USA,Men,club swinging,M,Bronze
960,St Louis,1904,Gymnastics,Artistic G.,"WEBER, Wilhelm",GER,Men,combined 3 events,M,Bronze
963,St Louis,1904,Gymnastics,Artistic G.,"MERZ, William",USA,Men,combined 4 events,M,Bronze
966,St Louis,1904,Gymnastics,Artistic G.,"EYSER, George",USA,Men,horizontal bar,M,Bronze
