,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
10486,14,13,25,31,980,93,0,337,0,2
6180,7,8,25,31,1455,48,0,343,0,2
4660,13,6,25,31,2473,95,0,337,0,1
16309,11,18,25,31,13228,93,0,361,0,2
3418,1,5,14,1,5246,21,0,444,0,1
7948,6,10,28,34,11688,81,0,159,0,2
5988,7,8,10,14,14015,83,0,374,2,0
3954,1,5,28,34,12444,95,0,203,0,0
15661,11,18,6,6,3833,34,1,289,1,1
12555,9,15,28,34,11162,75,0,106,0,2
2673,17,4,28,34,2841,83,0,157,0,2
14992,10,17,27,33,5705,32,0,137,0,1
9897,14,13,0,43,208,48,0,461,0,1
7617,6,10,11,15,8398,40,0,354,0,0
6128,7,8,16,20,5873,42,0,370,0,1
14555,10,17,12,17,4726,34,0,359,0,1
7511,6,10,6,6,13662,61,1,289,1,2
9475,8,12,14,1,11925,93,0,440,0,1
16886,7,19,2,2,10944,13,1,145,1,2
18365,15,20,2,2,3531,34,1,145,1,0
1563,6,3,20,25,8382,33,0,385,0,2
5603,0,7,25,31,1112,70,0,361,0,0
19436,15,20,33,41,2363,3,0,460,0,0
18354,15,20,2,2,7933,32,0,145,0,0
13297,12,16,11,15,10641,93,0,355,0,2
7314,6,10,2,2,10028,95,0,91,0,1
14986,10,17,25,31,349,93,1,426,1,0
13792,12,16,33,41,4506,93,1,460,1,1
13427,12,16,14,1,9257,50,0,417,0,1
7450,6,10,3,3,2186,31,0,314,0,2
8641,5,11,14,1,12963,50,0,459,0,2
4370,13,6,5,5,9412,21,0,188,0,1
6238,7,8,27,33,12272,95,0,234,2,2
18664,15,20,9,11,8526,4,0,299,0,0
14707,10,17,15,19,7555,40,1,364,1,0
29,2,0,2,2,2279,95,0,368,0,1
862,16,2,11,15,3910,20,0,354,0,1
13432,12,16,14,1,9881,34,0,440,0,0
